Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,1304,0,130,158.28242154908992,6.819400005042553,626.3593999901786,38.0,22.324438131459186,0.0,130,160,200,220,310,390,470,500,600,630,630
POST,/v1/predict,3914,0,220,266.49173773624864,9.120599992456846,946.7409999924712,155.76315789473685,67.00755433016201,0.0,220,270,320,370,510,630,730,800,900,950,950
,Aggregated,5218,0,200,239.44977753922683,6.819400005042553,946.7409999924712,126.33365274051361,89.3319924616212,0.0,200,250,300,330,460,590,700,780,890,950,950
