Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,1270,0,480,512.817676378014,3.4102999925380573,1352.1838000015123,38.0,21.058927566138166,0.0,480,550,590,620,750,900,1000,1100,1300,1400,1400
POST,/v1/predict,3892,0,890,913.9623978417601,10.143699997570366,1860.6855000107316,155.7607913669065,64.5364929822124,0.0,890,990,1100,1100,1300,1400,1600,1700,1800,1900,1900
,Aggregated,5162,0,830,815.2692951182119,3.4102999925380573,1860.6855000107316,126.78826036419993,85.59542054835056,0.0,830,930,1000,1100,1200,1300,1600,1700,1800,1900,1900
